px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	1.03951e-320
8.45794	0.247694	-0.00277348	0.0050467	0.00387712	8.44818	0.251553	8.45	0.25	-3.00027	0	0.0174854
8.4615	0.246766	-0.000458599	0.00334581	0.00220942	8.56759	0.241943	8.45	0.25	0	0	0.13031
8.45989	0.249011	-0.00117915	0.00595169	0.00382299	8.45582	0.253997	8.45	0.25	0	0	0.00587324
8.41558	0.239091	-0.131024	-0.0331052	-0.135044	8.42544	0.254042	8.35	0.25	-1.81979	0	35.6379
8.3705	0.243043	-0.163044	-0.0322678	-0.140376	8.23962	0.24916	8.25	0.25	-1.81978	0	2.21526
8.26833	0.229804	-0.458939	-0.132046	-0.380798	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	137.684
8.16368	0.223508	-0.538298	-0.159069	-0.412057	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	13.5475
8.06423	0.228523	-0.767593	-0.215042	-0.504488	7.61269	0.155818	7.7	0.15	-2.99982	0	77.0122
7.93479	0.231046	-0.862968	-0.245335	-0.529962	7.54016	0.159641	7.55	0.15	-2.99982	0	19.7736
7.85645	0.24252	-0.957607	-0.250039	-0.49941	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	13.7577
7.72223	0.234826	-1.0424	-0.239003	-0.4442	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	22.0411
7.61354	0.239421	-1.20142	-0.164612	-0.310207	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	36.0374
7.46085	0.204913	-1.2806	-0.0323541	-0.12204	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	28.0098
7.36722	0.193101	-1.3307	0.00778388	-0.0628513	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	8.74121
7.2174	0.079112	-1.38907	0.331835	0.310409	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	31.6432
7.12281	0.0632079	-1.47499	0.302222	0.258607	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	11.5528
6.98835	-0.104725	-1.56528	0.661236	0.622425	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	32.189
6.93498	-0.207981	-1.55698	0.829463	0.769875	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	5.50794
6.83685	-0.36064	-1.66757	1.03985	0.931708	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	20.1275
6.79942	-0.486713	-1.68861	1.19258	1.04053	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	6.24228
6.72484	-0.669028	-1.83809	1.36429	1.1201	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	26.6516
6.64658	-0.719419	-1.84621	1.23214	0.830245	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	16.5038
6.54968	-0.889022	-2.01463	1.29011	0.794715	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	26.3078
6.62307	-1.10039	-2.07382	1.64235	1.26307	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	31.996
6.57932	-1.29196	-2.24113	1.69968	1.19634	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	22.035
6.53142	-1.38731	-2.21815	1.61104	0.914346	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	14.7686
6.46634	-1.58115	-2.39133	1.59805	0.789343	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	23.1664
6.51865	-1.74116	-2.47311	1.75646	1.01425	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	12.1717
6.4885	-1.93712	-2.61331	1.75107	0.906578	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	14.1539
6.47822	-2.08929	-2.61758	1.73191	0.766412	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.87637
6.45224	-2.30198	-2.73706	1.71454	0.663705	6.34927	-2.55175	6.35	-2.55	0	-2.72611	9.61826
6.49792	-2.46892	-2.78856	1.79683	0.765606	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	3.51147
